City,Region,Lon,Lat,AWCh1_M_sl1_1km_ll,AWCh2_M_sl1_1km_ll,AWCh3_M_sl1_1km_ll,AWCtS_M_sl1_1km_ll,bio_01,bio_02,bio_03,bio_04,bio_05,bio_06,bio_07,bio_08,bio_09,bio_10,bio_11,bio_12,bio_13,bio_14,bio_15,bio_16,bio_17,bio_18,bio_19,BLDFIE_M_sl1_1km_ll,CECSOL_M_sl1_1km_ll,CLYPPT_M_sl1_1km_ll,CRFVOL_M_sl1_1km_ll,OCDENS_M_sl1_1km_ll,OCSTHA_M_sd1_1km_ll,ORCDRC_M_sl1_1km_ll,PHIHOX_M_sl1_1km_ll,PHIKCL_M_sl1_1km_ll,SLTPPT_M_sl1_1km_ll,SNDPPT_M_sl1_1km_ll,TEXMHT_M_sl1_1km_ll,WWP_M_sl1_1km_ll
DWIGHT,E,-88.4251,41.0945,14,11,9,45,10.07624912,11.57083035,28.42955971,1050.889404,28.39999962,-12.30000019,40.70000076,20.45000076,-3.646668911,22.41666603,-3.646668911,914.9000854,100,36,29.00994492,298,137,288,137,1361,26,26,0,266,21,58,65,52,51,23,8,26
GOODFIELD,E,-89.2748,40.6298,15,12,9,45,10.39958382,11.59583569,28.49798965,1045.531128,28.79999924,-11.89000607,40.69000626,20.68333435,-3.248334408,22.68166733,-3.248334408,962,106,40,27.55827332,308,150,289,150,1346,26,24,0,279,18,44,62,53,66,11,8,26
URBANA,E,-88.2073,40.1106,15,12,10,45,10.9529171,11.18750286,28.25127029,1024.617432,29,-10.60000038,39.60000229,21.06500053,-2.368332386,23.0150013,-2.368332386,1007.399719,115.0999374,47,26.36271477,327.0999451,165,317.1998596,165,1338,28,23,2,224,20,63,66,54,56,22,8,26
WOODSTOCK,N,-88.4487,42.3147,15,12,10,46,8.426668167,11.45999908,27.87643623,1063.16333,27.20000076,-13.90999317,41.10999298,21.08000183,-5.319997787,21.08000183,-5.319997787,927.0999146,107.0999374,32,34.35115433,319.0999451,124,319.0999451,124,1310,29,23,3,359,20,47,65,56,45,32,7,26
MT_MORRIS,N,-89.4312,42.0503,15,12,10,46,8.460417747,11.62083626,28.13761711,1076.715942,27.10000038,-14.19999981,41.29999924,21.11500168,-5.569997787,21.11500168,-5.569997787,923.3997192,115.0999374,31.09993553,36.12620163,316.0999451,117.0999374,316.0999451,117.0999374,1295,31,21,2,315,25,78,63,51,61,18,8,26
DEKALB,N,-88.7504,41.9295,15,12,10,46,9.023751259,11.28749752,27.26448631,1083.287842,27.60000038,-13.80000019,41.40000153,21.78333282,-5.099999905,21.78333282,-5.099999905,930.0999146,109,30,35.24855804,321,120.0999374,321,120.0999374,1310,30,24,2,345,19,42,65,55,48,28,7,26
ERIE,N,-90.0793,41.6564,14,11,9,43,9.682916641,11.03916264,26.47281265,1094.555054,28.60000038,-13.10000038,41.70000076,22.54833412,-4.631667614,22.54833412,-4.631667614,940,114,34,35.76662064,325.9000549,122,325.9000549,122,1401,28,21,0,282,16,28,64,53,47,32,7,25
FENTON,N,-90.0302,41.7307,15,12,10,45,9.424164772,11.36833763,27.19698143,1091.775635,28.39999962,-13.39999962,41.79999924,22.22332954,-4.849999905,22.22332954,-4.849999905,949.1998901,116,35,35.85287857,326.0999451,124,326.0999451,124,1340,28,21,0,325,14,18,62,53,62,17,8,25
ROCK.FALLS,N,-89.689,41.7798,15,12,10,46,9.307081223,11.31249714,26.99880028,1096.56543,28.29999924,-13.60000038,41.90000153,20.13833046,-4.981667995,22.20166588,-4.981667995,945.8001099,118.9000626,35,36.16030121,324.9000549,123,323.9000549,123,1333,31,22,2,310,17,29,65,55,47,30,7,26
ST_PETER,S,-88.8539,38.8681,15,12,10,44,12.19583035,11.58000183,29.53332901,986.3914185,30.30999374,-8.899999619,39.20999146,21.78999519,-0.628336489,23.87166405,-0.628336489,1024,106,52,20.83381462,311,197,281,197,1363,23,20,1,262,18,55,62,52,64,17,8,24
BROWNSTOWN,S,-88.9528,38.9959,16,13,10,45,12.11749935,11.38166809,29.03486633,994.2787476,30.20000076,-9,39.20000076,21.78333282,-0.81500107,23.86666679,-0.81500107,1013,106,51,21.27008247,310,191,279,191,1330,21,18,0,255,19,60,63,53,67,16,8,24
BELLEVILLE,S,-89.984,38.5201,16,13,11,46,12.85124969,11.48583126,29.60265732,974.4257813,31.10000038,-7.699999809,38.79999924,18.18333244,0.251665592,24.46833229,0.251665592,973.9000854,103,52,18.68032646,291.9000549,185,269.9000549,185,1297,21,19,1,259,20,63,61,51,65,17,8,24
CARBONDALE,S,-89.2168,37.7273,17,13,11,46,13.5625,11.58833504,30.41557884,946.4846802,31.60000038,-6.5,38.10000229,13.46833229,1.365001082,24.88333321,1.365001082,1151,122,72,17.51852798,350,247,286,247,1280,19,18,1,249,21,75,59,51,66,17,8,24
DIXON_SPRINGS_UPLAND,S,-88.6687,37.3845,16,12,10,47,13.77666283,11.56499577,31.24828148,909.4697876,31.20999336,-5.800000191,37.00999451,13.6883297,20.15666199,24.60666275,2.03999567,1222.800171,125,78,16.01434898,369,254,298.9000549,282,1252,21,15,6,406,24,83,51,47,70,15,8,24
DIXON_SPRINGS_BOTTOMLAND,S,-88.6687,37.3845,16,12,10,47,13.77666283,11.56499577,31.24828148,909.4697876,31.20999336,-5.800000191,37.00999451,13.6883297,20.15666199,24.60666275,2.03999567,1222.800171,125,78,16.01434898,369,254,298.9000549,282,1252,21,15,6,406,24,83,51,47,70,15,8,24
ELKVILLE,S,-89.2359,37.9101,15,12,9,44,13.38583183,11.81000423,30.6037674,955.5324097,31.5,-7.090006351,38.59000778,13.30333138,1.051665545,24.80166626,1.051665545,1116,120,67,18.00242805,339,229,282,229,1356,21,18,0,249,21,77,60,49,70,11,8,24
MONMOUTH,W,-90.6474,40.9114,15,12,10,46,10.24625015,11.07916355,27.15481377,1067.914917,28.79999924,-12,40.79999924,20.81999779,-3.716666698,22.80333138,-3.716666698,962,111,38,32.70992279,325,132,318,132,1317,28,24,1,267,19,55,64,55,63,12,8,26
PERRY,W,-90.7454,39.7831,15,12,9,44,11.43791676,11.42416668,28.48919487,1025.140625,30.10000038,-10,40.09999847,21.5,-1.900000095,23.56666565,-1.900000095,955,114,37,28.73720741,307,141,279,141,1376,22,19,0,280,16,36,64,53,71,10,8,24
NEW_BERLIN,W,-89.9107,39.7253,14,11,9,43,11.37999916,11.5433321,28.85833168,1018.463257,29.79999924,-10.19999981,40,17.11666679,-1.899999857,23.38333321,-1.899999857,945,111,40,26.42778778,303,152,278,152,1413,24,23,0,295,17,36,62,52,66,11,8,25
