YEAR,COMPANY,HYBRID,DWIGHT,GOODFIELD,URBANA,WOODSTOCK,MT_MORRIS,DEKALB,ERIE,FENTON,ROCK.FALLS,ST_PETER,BROWNSTOWN,BELLEVILLE,CARBONDALE,DIXON_SPRINGS_UPLAND,DIXON_SPRINGS_BOTTOMLAND,ELKVILLE,MONMOUTH,PERRY,NEW_BERLIN,IS_CHECK
1999,ADLER,4250,124,190,206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
1999,ADLER,5250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,132,NA,111,110,193,NA,NA,NA,NA,FALSE
1999,ADLER,4200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,204,73,153,FALSE
1999,AGRIGOLD,A 6390,NA,NA,NA,155,NA,201,NA,NA,217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
1999,AGRIGOLD,A 6459 BT,NA,NA,NA,146,NA,201,NA,NA,183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
1999,AGRIGOLD,A 6469 BT,NA,NA,NA,159,NA,187,NA,NA,207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
1999,AGRIGOLD,A 6569 BT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79,NA,95,111,224,NA,NA,NA,NA,FALSE
1999,AGRIGOLD,A 6725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,139,NA,104,114,218,NA,NA,NA,NA,FALSE
1999,AGRIGOLD,XA 3809,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,130,NA,98,125,196,NA,NA,NA,NA,FALSE
1999,AGRIPRO,AP 9559 BT,133,204,216,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,207,215,150,FALSE
1999,AGRIPRO,AP 9565,159,203,229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,202,218,154,FALSE
1999,AGRIPRO,AP 9355 BT,NA,NA,NA,127,NA,184,NA,NA,198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
1999,AGRIPRO,AP 9466,NA,NA,NA,162,NA,215,NA,NA,201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
1999,AGRIPRO,AP 9689 BT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,129,NA,111,130,211,NA,NA,NA,NA,FALSE
1999,AGRIPRO,AP 9696,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,123,NA,109,131,199,NA,NA,NA,NA,FALSE
1999,AGVENTURE,AV 825,143,189,233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
1999,AGVENTURE,AV 864,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,130,NA,108,143,191,NA,NA,NA,NA,FALSE
1999,BECK'S,5305,150,197,208,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
1999,BECK'S,5349,134,205,219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
1999,BECK'S,5360,151,173,207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
1999,BECK'S,5405,144,195,205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
1999,BECK'S,X 5505 BT,145,199,234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
1999,BECK'S,5283 BT,NA,NA,NA,170,NA,220,NA,NA,196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
1999,BECK'S,6205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,118,NA,99,119,212,NA,NA,NA,NA,FALSE
1999,BECK'S,6580,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,139,NA,113,111,200,NA,NA,NA,NA,FALSE
1999,BECK'S,8280,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,133,NA,108,115,218,NA,NA,NA,NA,FALSE
1999,BIO GENE,BG 307,135,205,192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
1999,BIO GENE,BG 309,144,204,216,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
